0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-12814, 21045, 30186, 26797, -12395, 32177, 38811, 43790, -11976, 23329, 30280, 40237
6485, 21203, 30068, 26555, 6905, 32056, 38776, 43723, 7325, 23255, 30341, 40013
12485, 21204, 30066, 26559, 12905, 32056, 38776, 43722, 13325, 23254, 30338, 40017
18486, 21207, 30069, 26555, 18905, 32057, 38774, 43721, 19325, 23256, 30340, 40021
24485, 21209, 30067, 26557, 24905, 32057, 38777, 43719, 25324, 23254, 30339, 40016
30485, 21209, 30068, 26559, 30905, 32059, 38774, 43726, 31324, 23255, 30342, 40023
36485, 21210, 30073, 26561, 36905, 32056, 38775, 43728, 37325, 23253, 30343, 40022
42485, 21209, 30074, 26562, 42905, 32053, 38772, 43729, 43325, 23255, 30346, 40026
48486, 21211, 30076, 26564, 48906, 32057, 38774, 43728, 49325, 23256, 30342, 40022
54485, 21210, 30073, 26569, 54904, 32057, 38776, 43731, 55324, 23254, 30344, 40025
60485, 21207, 30074, 26563, 60905, 32055, 38780, 43730, 61325, 23254, 30343, 40026
66484, 21207, 30073, 26560, 66904, 32058, 38778, 43735, 67323, 23257, 30346, 40024
72484, 21206, 30076, 26570, 72904, 32057, 38777, 43735, 73324, 23258, 30348, 40026
78484, 21208, 30074, 26566, 78904, 32056, 38778, 43733, 79324, 23258, 30342, 40034
84484, 21212, 30074, 26567, 84904, 32059, 38776, 43733, 85324, 23257, 30345, 40027
90484, 21209, 30072, 26567, 90904, 32055, 38780, 43732, 91324, 23255, 30346, 40030
96484, 21211, 30071, 26568, 96904, 32054, 38776, 43737, 97324, 23253, 30350, 40031
102484, 21210, 30069, 26567, 102904, 32055, 38774, 43741, 103323, 23256, 30349, 40026
108484, 21207, 30074, 26571, 108904, 32054, 38775, 43742, 109324, 23254, 30346, 40029
114484, 21210, 30071, 26571, 114904, 32055, 38777, 43743, 115324, 23254, 30348, 40034
120484, 21211, 30072, 26573, 120904, 32055, 38777, 43740, 121324, 23255, 30350, 40032
126484, 21209, 30074, 26574, 126904, 32052, 38778, 43740, 127324, 23251, 30351, 40034
132483, 21212, 30073, 26575, 132903, 32054, 38777, 43741, 133323, 23254, 30350, 40034
138483, 21210, 30069, 26578, 138903, 32056, 38779, 43747, 139323, 23253, 30351, 40029
144483, 21209, 30072, 26579, 144903, 32050, 38780, 43750, 145322, 23251, 30351, 40035
150483, 21212, 30071, 26576, 150902, 32053, 38778, 43747, 151322, 23253, 30350, 40032
156483, 21211, 30071, 26581, 156903, 32052, 38778, 43750, 157322, 23251, 30349, 40035
162483, 21208, 30071, 26577, 162902, 32052, 38778, 43752, 163322, 23254, 30351, 40035
168484, 21208, 30072, 26580, 168903, 32056, 38778, 43750, 169323, 23258, 30350, 40035
174483, 21207, 30071, 26579, 174902, 32054, 38779, 43756, 175322, 23252, 30350, 40040
180483, 21208, 30069, 26582, 180902, 32053, 38775, 43753, 181322, 23255, 30352, 40043
186483, 21210, 30071, 26582, 186902, 32054, 38779, 43756, 187322, 23252, 30350, 40040
192483, 21208, 30070, 26583, 192903, 32051, 38778, 43754, 193322, 23247, 30351, 40040
198482, 21206, 30071, 26582, 198901, 32052, 38776, 43757, 199321, 23252, 30350, 40038
204483, 21208, 30070, 26588, 204902, 32052, 38780, 43755, 205322, 23252, 30351, 40037
210482, 21206, 30068, 26581, 210902, 32050, 38777, 43759, 211322, 23248, 30354, 40039
216482, 21208, 30072, 26584, 216902, 32053, 38778, 43754, 217322, 23251, 30353, 40042
222482, 21210, 30075, 26588, 222902, 32053, 38779, 43755, 223321, 23249, 30351, 40045
228483, 21206, 30072, 26589, 228902, 32052, 38781, 43757, 229322, 23248, 30352, 40043
234482, 21210, 30073, 26585, 234902, 32054, 38780, 43757, 235322, 23253, 30351, 40035
240482, 21209, 30072, 26584, 240902, 32053, 38783, 43760, 241322, 23254, 30356, 40038
246482, 21208, 30071, 26584, 246902, 32049, 38774, 43760, 247322, 23247, 30355, 40040
252482, 21210, 30068, 26591, 252902, 32054, 38782, 43762, 253322, 23248, 30355, 40044
258482, 21208, 30068, 26592, 258902, 32051, 38777, 43760, 259321, 23248, 30354, 40045
264481, 21206, 30072, 26592, 264901, 32052, 38775, 43760, 265321, 23250, 30353, 40042
270481, 21205, 30069, 26587, 270901, 32051, 38779, 43763, 271320, 23251, 30355, 40043
276481, 21202, 30071, 26587, 276901, 32047, 38782, 43765, 277321, 23248, 30355, 40043
282481, 21206, 30069, 26587, 282901, 32050, 38782, 43762, 283321, 23249, 30355, 40042
288482, 21208, 30070, 26586, 288901, 32051, 38778, 43764, 289321, 23248, 30357, 40041
294481, 21205, 30069, 26588, 294901, 32045, 38783, 43760, 295320, 23246, 30357, 40046
300481, 21208, 30066, 26594, 300901, 32049, 38782, 43760, 301321, 23248, 30359, 40043
306481, 21207, 30073, 26591, 306901, 32050, 38784, 43767, 307321, 23249, 30359, 40043
312481, 21205, 30069, 26589, 312901, 32049, 38781, 43764, 313321, 23251, 30359, 40045
318481, 21207, 30069, 26589, 318901, 32050, 38778, 43763, 319320, 23249, 30352, 40042
324481, 21207, 30070, 26594, 324901, 32050, 38780, 43765, 325320, 23246, 30353, 40042
330480, 21207, 30069, 26593, 330900, 32053, 38778, 43762, 331320, 23246, 30355, 40049
338106, 21205, 30073, 26594, 338526, 32050, 38782, 43764, 338946, 23248, 30352, 40050
343096, 21203, 30070, 26590, 343516, 32049, 38779, 43768, 343935, 23246, 30354, 40055
348480, 21205, 30069, 26596, 348900, 32050, 38779, 43769, 349320, 23250, 30356, 40048
354480, 21205, 30072, 26596, 354900, 32049, 38782, 43771, 355319, 23248, 30353, 40049
360481, 21201, 30069, 26596, 360900, 32047, 38780, 43770, 361320, 23245, 30355, 40051
366480, 21205, 30069, 26597, 366900, 32050, 38782, 43771, 367319, 23251, 30357, 40049
372481, 21207, 30069, 26600, 372900, 32051, 38782, 43765, 373320, 23247, 30358, 40054
378480, 21204, 30067, 26597, 378900, 32050, 38782, 43771, 379319, 23247, 30354, 40045
384480, 21205, 30072, 26596, 384899, 32051, 38781, 43767, 385319, 23249, 30354, 40054
390480, 21205, 30073, 26599, 390900, 32049, 38782, 43773, 391319, 23249, 30356, 40051
396479, 21204, 30066, 26600, 396899, 32050, 38780, 43769, 397318, 23246, 30359, 40050
402479, 21207, 30071, 26595, 402898, 32048, 38782, 43767, 403318, 23248, 30356, 40052
408479, 21203, 30068, 26596, 408898, 32047, 38780, 43770, 409318, 23246, 30355, 40048
414479, 21204, 30067, 26593, 414899, 32048, 38780, 43769, 415318, 23247, 30358, 40047
420479, 21206, 30068, 26592, 420898, 32047, 38783, 43773, 421318, 23246, 30361, 40047
426479, 21201, 30068, 26592, 426898, 32046, 38783, 43770, 427317, 23245, 30359, 40051
432479, 21205, 30070, 26594, 432899, 32048, 38782, 43773, 433318, 23246, 30357, 40050
438479, 21208, 30069, 26595, 438898, 32047, 38780, 43769, 439318, 23244, 30361, 40054
444479, 21205, 30068, 26595, 444898, 32045, 38785, 43774, 445317, 23242, 30358, 40050
450479, 21206, 30070, 26594, 450899, 32047, 38784, 43772, 451318, 23245, 30360, 40047
456479, 21206, 30071, 26600, 456898, 32047, 38784, 43773, 457318, 23246, 30360, 40051
462478, 21205, 30066, 26597, 462897, 32048, 38785, 43777, 463317, 23246, 30361, 40048
468478, 21208, 30069, 26596, 468898, 32051, 38781, 43773, 469317, 23249, 30358, 40048
474478, 21203, 30072, 26597, 474898, 32049, 38779, 43773, 475317, 23246, 30356, 40050
480478, 21206, 30070, 26594, 480898, 32046, 38779, 43771, 481317, 23245, 30357, 40050
486478, 21207, 30069, 26595, 486898, 32047, 38784, 43775, 487317, 23244, 30361, 40053
492478, 21205, 30068, 26599, 492898, 32045, 38785, 43776, 493317, 23239, 30359, 40050
498478, 21206, 30067, 26597, 498898, 32048, 38786, 43774, 499318, 23244, 30359, 40055
504478, 21203, 30066, 26601, 504898, 32048, 38785, 43773, 505318, 23245, 30360, 40056
510478, 21200, 30069, 26601, 510897, 32046, 38783, 43776, 511317, 23246, 30357, 40056
516478, 21200, 30071, 26598, 516898, 32047, 38784, 43774, 517318, 23247, 30358, 40055
522478, 21201, 30070, 26602, 522898, 32052, 38781, 43774, 523318, 23247, 30360, 40056
528477, 21200, 30067, 26601, 528897, 32048, 38784, 43778, 529316, 23247, 30360, 40050
534477, 21203, 30070, 26601, 534897, 32050, 38787, 43779, 535316, 23246, 30358, 40061
540477, 21205, 30073, 26600, 540896, 32046, 38781, 43778, 541316, 23246, 30359, 40053
546477, 21203, 30068, 26597, 546896, 32047, 38782, 43776, 547316, 23243, 30356, 40053
552477, 21206, 30069, 26600, 552896, 32048, 38784, 43780, 553316, 23247, 30358, 40052
558477, 21204, 30071, 26599, 558897, 32047, 38784, 43780, 559316, 23242, 30359, 40056
564477, 21205, 30068, 26598, 564897, 32044, 38783, 43778, 565316, 23245, 30357, 40051
570477, 21203, 30069, 26599, 570897, 32047, 38783, 43777, 571317, 23244, 30360, 40051
576477, 21203, 30067, 26601, 576897, 32044, 38787, 43778, 577316, 23241, 30360, 40048
582477, 21206, 30067, 26601, 582897, 32043, 38781, 43778, 583316, 23246, 30358, 40056
588478, 21205, 30067, 26602, 588897, 32045, 38785, 43779, 589317, 23242, 30363, 40052
594476, 21203, 30070, 26600, 594896, 32045, 38785, 43780, 595316, 23242, 30361, 40056
600476, 21204, 30068, 26598, 600896, 32046, 38787, 43780, 601316, 23243, 30360, 40057
606476, 21204, 30073, 26600, 606896, 32046, 38784, 43782, 607316, 23244, 30357, 40054
612476, 21205, 30066, 26598, 612896, 32046, 38784, 43780, 613315, 23243, 30363, 40055
618476, 21203, 30068, 26598, 618896, 32048, 38782, 43782, 619316, 23244, 30357, 40053
624476, 21202, 30070, 26600, 624896, 32048, 38786, 43775, 625316, 23243, 30360, 40053
630476, 21202, 30068, 26606, 630896, 32048, 38787, 43778, 631316, 23245, 30362, 40056
636477, 21203, 30066, 26603, 636896, 32046, 38783, 43778, 637316, 23244, 30363, 40055
642476, 21202, 30070, 26605, 642896, 32044, 38782, 43779, 643315, 23242, 30360, 40057
648476, 21202, 30068, 26607, 648896, 32047, 38783, 43782, 649316, 23242, 30357, 40056
654477, 21201, 30071, 26602, 654896, 32047, 38784, 43778, 655316, 23246, 30361, 40059
660475, 21199, 30072, 26603, 660895, 32044, 38789, 43783, 661315, 23241, 30360, 40057
666475, 21202, 30069, 26600, 666895, 32046, 38786, 43782, 667315, 23244, 30360, 40059
672476, 21205, 30068, 26605, 672896, 32043, 38787, 43777, 673315, 23241, 30361, 40055
678475, 21203, 30065, 26596, 678895, 32044, 38787, 43782, 679315, 23242, 30361, 40056
684476, 21205, 30069, 26598, 684895, 32047, 38784, 43781, 685315, 23245, 30361, 40057
690476, 21202, 30067, 26600, 690896, 32046, 38786, 43783, 691316, 23243, 30365, 40053
696475, 21205, 30067, 26602, 696895, 32045, 38785, 43782, 697315, 23242, 30362, 40055
702475, 21206, 30069, 26605, 702895, 32044, 38786, 43782, 703315, 23243, 30362, 40053
708476, 21205, 30068, 26597, 708895, 32046, 38785, 43779, 709315, 23241, 30362, 40056
714475, 21205, 30065, 26600, 714895, 32045, 38783, 43779, 715315, 23242, 30362, 40054
720476, 21205, 30067, 26601, 720903, 32043, 38785, 43783, 721323, 23242, 30367, 40059
726475, 21200, 30066, 26602, 726894, 32042, 38785, 43782, 727314, 23241, 30366, 40056
732474, 21203, 30066, 26606, 732894, 32046, 38787, 43782, 733314, 23243, 30365, 40058
738474, 21203, 30071, 26602, 738894, 32046, 38785, 43784, 739313, 23243, 30360, 40058
744474, 21199, 30071, 26607, 744894, 32043, 38789, 43783, 745314, 23243, 30361, 40054
750474, 21201, 30071, 26603, 750893, 32046, 38786, 43785, 751313, 23245, 30364, 40059
756474, 21204, 30069, 26607, 756894, 32046, 38788, 43785, 757314, 23244, 30364, 40062
762474, 21203, 30071, 26607, 762894, 32046, 38786, 43782, 763314, 23243, 30361, 40060
768474, 21206, 30068, 26605, 768894, 32048, 38785, 43785, 769314, 23243, 30362, 40056
774474, 21200, 30072, 26607, 774894, 32047, 38788, 43784, 775314, 23242, 30360, 40059
780474, 21203, 30067, 26607, 780893, 32047, 38782, 43783, 781313, 23240, 30362, 40057
786482, 21203, 30068, 26608, 786902, 32047, 38786, 43788, 787321, 23245, 30363, 40058
792473, 21202, 30070, 26608, 792893, 32045, 38785, 43782, 793312, 23238, 30362, 40059
798473, 21203, 30069, 26606, 798892, 32046, 38784, 43782, 799312, 23242, 30360, 40059
804473, 21203, 30071, 26606, 804893, 32045, 38783, 43785, 805313, 23242, 30360, 40061
810473, 21201, 30069, 26605, 810892, 32040, 38788, 43786, 811312, 23238, 30365, 40059
816473, 21204, 30065, 26604, 816893, 32044, 38783, 43784, 817313, 23242, 30364, 40057
