0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 32768, 33865, 34023, 0, 32729, 33416, 33543
0, 32928, 33472, 33523, 6121, 32764, 33865, 34018, 6540, 32722, 33421, 33542
12119, 32928, 33471, 33516, 12538, 32766, 33865, 34031, 12957, 32727, 33419, 33551
18119, 32931, 33471, 33522, 18538, 32768, 33864, 34035, 18957, 32728, 33419, 33552
24119, 32934, 33475, 33521, 24538, 32770, 33867, 34034, 24957, 32729, 33419, 33555
30119, 32931, 33476, 33524, 30538, 32768, 33864, 34038, 30957, 32727, 33418, 33555
36119, 32934, 33472, 33523, 36538, 32771, 33866, 34037, 36957, 32729, 33422, 33553
42119, 32934, 33478, 33526, 42539, 32771, 33866, 34039, 42958, 32730, 33424, 33554
48119, 32934, 33471, 33529, 48538, 32770, 33867, 34040, 48958, 32728, 33418, 33554
54119, 32932, 33475, 33534, 54538, 32772, 33866, 34044, 54957, 32730, 33421, 33558
60119, 32934, 33474, 33530, 60538, 32769, 33869, 34044, 60957, 32727, 33422, 33558
66118, 32934, 33473, 33532, 66537, 32772, 33866, 34044, 66956, 32728, 33423, 33554
72118, 32936, 33475, 33528, 72537, 32769, 33868, 34046, 72957, 32730, 33425, 33559
78118, 32932, 33476, 33530, 78538, 32768, 33867, 34048, 78957, 32727, 33424, 33553
