RMS Measurements in nT measured from power spectrum of frequency response 
Datasheet states an RMS of .4 mG or 40 nT
+----+------------------------------+--------------------------------+------------------------------+
|    |           Sensor 1           |            Sensor 2            |           Sensor 3           |
|----+------------------------------+--------------------------------+------------------------------|
|  1 | [212.151, 273.006, 250.548,] |  [215.679, 250.801, 287.292,]  | [219.795, 253.316, 205.210,] |
|  2 | [238.134, 216.979, 232.737,] |  [238.051, 232.530, 276.578,]  | [246.774, 314.305, 310.165,] |
|  3 | [266.288, 196.471, 241.761,] |  [285.433, 260.592, 320.355,]  | [286.733, 190.671, 262.883,] |
|  4 | [298.199, 186.906, 272.491,] |  [306.982, 203.827, 242.790,]  | [309.657, 204.616, 342.089,] |
|  5 | [220.932, 210.156, 195.646,] |  [215.562, 240.300, 289.328,]  | [219.986, 200.216, 250.432,] |
|  6 | [243.461, 193.923, 102.686,] |  [241.597, 257.592, 268.581,]  | [253.676, 201.848, 212.163,] |
|  7 | [278.813, 145.793, 293.134,] |  [276.040, 114.922, 199.612,]  | [282.002, 134.456, 239.185,] |
|  8 | [298.184, 160.280, 214.082,] |  [291.998, 173.868, 336.835,]  | [297.851, 184.421, 256.309,] |
|  9 | [205.522, 201.439, 197.515,] |  [199.819, 194.719, 157.393,]  | [211.064, 156.886, 283.175,] |
| 10 | [231.511, 247.617, 205.266,] |  [224.210, 139.914, 276.397,]  | [231.700, 170.603, 287.032,] |
| 11 | [250.592, 118.685, 248.479,] |  [242.484, 120.299, 160.128,]  | [248.677, 101.884, 247.806,] |
| 12 | [262.823, 157.648, 215.511,] |  [251.695, 130.949, 235.497,]  | [256.483, 182.770, 244.845,] |
| 13 | [181.999, 157.855, 255.482,] |  [178.918, 131.339, 166.236,]  | [183.648, 147.411, 251.006,] |
| 14 | [204.025, 182.796, 204.187,] |  [193.020, 219.173, 228.068,]  | [207.301, 231.308, 136.670,] |
| 15 | [221.737, 149.032, 255.283,] |  [214.566, 158.514, 209.545,]  | [212.101, 169.755, 269.932,] |
| 16 | [221.962, 201.913, 182.714,] |  [216.558, 129.658, 212.554,]  | [217.706, 130.310, 219.060,] |
| 17 | [138.665, 231.641, 217.071,] |  [138.420, 158.280, 210.651,]  | [140.219, 129.192, 236.869,] |
| 18 |  [27.487, 27.196, 26.882,]   | [28.040, 1064.340, 10827.457,] |  [27.635, 28.320, 858.073,]  |
| 19 | [152.488, 111.622, 163.668,] |  [151.724, 86.070, 241.194,]   | [155.300, 157.371, 263.897,] |
| 20 | [149.305, 138.987, 247.497,] |  [144.301, 142.495, 227.809,]  | [146.944, 152.518, 201.218,] |
| 21 | [159.594, 117.320, 334.380,] |  [151.232, 125.742, 234.876,]  | [162.366, 118.633, 265.239,] |
| 22 | [176.093, 128.682, 216.975,] |  [169.434, 109.286, 239.743,]  | [169.914, 79.169, 174.270,]  |
| 23 | [180.453, 141.292, 201.592,] |  [186.753, 199.689, 226.237,]  | [197.666, 95.817, 223.854,]  |
| 24 | [179.160, 186.983, 252.934,] |  [171.664, 123.422, 195.787,]  | [175.973, 132.758, 230.139,] |
+----+------------------------------+--------------------------------+------------------------------+
