RMS Measurements in nT measured from power spectrum of frequency response 
Datasheet states an RMS of .4 mG or 40 nT
+----+------------------------------+------------------------------+------------------------------+
|    |           Sensor 1           |           Sensor 2           |           Sensor 3           |
|----+------------------------------+------------------------------+------------------------------|
|  1 | [186.057, 216.349, 188.185,] | [185.279, 206.928, 227.006,] | [185.726, 209.259, 246.519,] |
|  2 | [165.112, 243.182, 224.076,] | [165.778, 244.305, 223.483,] | [167.676, 316.618, 262.750,] |
|  3 | [149.620, 237.031, 230.390,] | [146.422, 173.339, 200.567,] | [148.216, 234.208, 164.092,] |
|  4 |    [0.000, 0.000, 0.000,]    | [125.694, 187.207, 233.424,] | [127.956, 246.056, 266.381,] |
|  5 | [169.196, 206.036, 226.844,] | [162.170, 179.201, 249.354,] | [167.384, 183.702, 234.284,] |
|  6 | [150.270, 180.298, 249.482,] | [147.552, 209.010, 243.215,] | [152.384, 287.838, 260.949,] |
|  7 | [139.574, 173.037, 227.232,] | [132.467, 186.997, 265.779,] | [134.523, 270.954, 243.912,] |
|  8 | [124.356, 244.744, 198.131,] | [118.361, 134.671, 224.509,] | [121.233, 230.528, 235.696,] |
|  9 | [146.552, 220.845, 295.819,] | [143.587, 177.497, 202.724,] | [146.027, 135.932, 264.259,] |
| 10 | [143.756, 210.667, 237.311,] | [129.696, 243.512, 261.542,] | [138.295, 254.389, 259.529,] |
| 11 | [123.232, 179.173, 271.139,] | [123.860, 176.776, 234.592,] | [119.270, 179.986, 270.012,] |
| 12 | [111.037, 176.231, 219.330,] | [107.995, 214.877, 224.510,] | [108.500, 133.598, 231.937,] |
| 13 | [133.003, 182.365, 210.370,] | [126.020, 217.040, 226.385,] | [127.904, 154.556, 201.070,] |
| 14 | [123.073, 204.719, 199.433,] | [116.866, 221.332, 251.556,] | [119.932, 185.883, 196.843,] |
| 15 | [111.670, 179.164, 219.664,] | [107.882, 202.565, 252.934,] | [110.539, 187.412, 253.041,] |
| 16 | [101.282, 202.996, 197.568,] | [105.183, 179.673, 232.000,] | [102.224, 168.066, 219.906,] |
| 17 | [100.991, 170.311, 247.622,] | [100.644, 167.437, 211.553,] | [102.751, 167.363, 220.666,] |
| 18 | [94.945, 210.076, 144.555,]  | [104.041, 126.095, 242.043,] | [105.357, 206.126, 282.525,] |
| 19 | [89.551, 151.478, 185.574,]  | [91.570, 215.212, 215.026,]  | [93.807, 171.332, 314.118,]  |
| 20 | [92.030, 162.261, 294.306,]  | [97.017, 169.951, 202.328,]  | [85.214, 119.842, 284.238,]  |
| 21 | [114.663, 268.762, 205.341,] | [115.735, 298.176, 244.342,] | [114.498, 138.238, 210.296,] |
| 22 | [116.962, 239.659, 183.100,] | [113.797, 143.542, 189.446,] | [107.778, 150.769, 240.809,] |
| 23 | [100.113, 208.381, 256.078,] | [96.229, 185.177, 166.177,]  | [96.660, 186.583, 198.015,]  |
| 24 | [90.675, 184.615, 251.729,]  | [92.653, 171.111, 176.781,]  | [91.972, 155.087, 257.395,]  |
+----+------------------------------+------------------------------+------------------------------+
