RMS Measurements in nT measured from power spectrum of frequency response 
Datasheet states an RMS of .4 mG or 40 nT
+----+------------------------------+------------------------------+------------------------------+
|    |           Sensor 1           |           Sensor 2           |           Sensor 3           |
|----+------------------------------+------------------------------+------------------------------|
|  1 | [157.570, 136.786, 242.629,] | [154.094, 146.136, 240.583,] | [157.523, 165.796, 201.483,] |
|  2 | [190.786, 180.862, 262.655,] | [184.760, 131.929, 205.385,] | [189.355, 140.457, 245.975,] |
|  3 | [236.752, 212.014, 177.828,] | [230.565, 132.645, 222.190,] | [235.018, 152.212, 256.677,] |
|  4 | [278.028, 170.028, 210.598,] | [273.080, 135.587, 240.611,] | [276.073, 189.825, 254.746,] |
|  5 | [328.534, 174.631, 224.805,] | [324.484, 181.766, 333.869,] | [327.964, 191.521, 265.479,] |
|  6 | [335.996, 201.478, 280.862,] | [342.660, 213.572, 252.866,] | [349.323, 222.120, 345.426,] |
|  7 | [161.099, 110.783, 160.325,] | [160.198, 86.014, 270.309,]  | [166.695, 148.854, 266.002,] |
|  8 | [192.047, 139.444, 207.981,] | [202.929, 204.189, 225.038,] | [207.119, 95.465, 238.518,]  |
|  9 | [235.653, 152.490, 262.658,] | [227.182, 164.419, 217.179,] | [229.198, 170.187, 273.837,] |
| 10 | [276.681, 124.704, 248.402,] | [262.992, 120.517, 155.621,] | [271.190, 102.456, 238.347,] |
| 11 | [310.086, 147.888, 302.297,] | [306.732, 121.355, 201.804,] | [315.909, 137.294, 239.275,] |
| 12 | [306.156, 212.187, 241.737,] | [318.468, 267.266, 310.645,] | [323.628, 203.617, 263.339,] |
| 13 | [152.936, 266.680, 228.435,] | [158.770, 252.185, 323.522,] | [170.404, 129.869, 210.440,] |
| 14 | [184.225, 133.547, 226.118,] | [181.744, 107.243, 229.799,] | [182.370, 79.412, 180.302,]  |
| 15 | [219.154, 183.905, 208.354,] | [208.012, 222.843, 240.294,] | [221.333, 226.949, 143.794,] |
| 16 | [251.147, 235.552, 186.779,] | [242.691, 150.931, 270.177,] | [252.280, 175.802, 290.112,] |
| 17 | [1285.152, 970.341, 27.066,] | [1293.368, 26.468, 27.965,]  |  [26.954, 27.292, 27.548,]   |
| 18 | [266.756, 239.179, 229.276,] | [269.510, 245.427, 268.121,] | [281.002, 318.592, 308.583,] |
| 19 | [144.977, 215.227, 229.230,] | [147.242, 162.062, 226.125,] | [148.856, 133.392, 238.985,] |
| 20 | [171.291, 120.216, 332.085,] | [163.070, 135.223, 244.009,] | [178.365, 119.679, 260.797,] |
| 21 | [198.528, 157.035, 245.824,] | [190.269, 143.771, 167.142,] | [197.285, 152.992, 269.906,] |
| 22 | [225.113, 208.098, 210.603,] | [216.621, 208.632, 165.471,] | [229.867, 157.268, 285.545,] |
| 23 | [241.769, 225.361, 204.480,] | [242.531, 253.019, 299.057,] | [248.310, 215.681, 254.503,] |
| 24 | [234.525, 296.769, 244.718,] | [238.406, 272.307, 274.438,] | [248.408, 269.722, 214.337,] |
+----+------------------------------+------------------------------+------------------------------+
