RMS Measurements in nT measured from power spectrum of frequency response 
Datasheet states an RMS of .4 mG or 40 nT
+----+------------------------------+-------------------------------+------------------------------+
|    |           Sensor 1           |           Sensor 2            |           Sensor 3           |
|----+------------------------------+-------------------------------+------------------------------|
|  1 | [231.018, 286.058, 234.970,] | [233.544, 266.266, 271.362,]  | [244.962, 264.233, 189.381,] |
|  2 | [258.136, 236.430, 219.707,] | [262.453, 239.932, 255.688,]  | [268.780, 313.567, 288.444,] |
|  3 | [289.669, 206.635, 238.689,] | [312.165, 258.043, 293.538,]  | [308.946, 198.448, 248.670,] |
|  4 | [324.223, 202.413, 260.142,] | [331.597, 214.192, 238.001,]  | [333.979, 218.874, 326.321,] |
|  5 | [240.635, 224.468, 191.838,] | [235.466, 246.110, 273.445,]  | [242.855, 214.700, 234.088,] |
|  6 | [264.782, 204.909, 94.879,]  | [263.597, 249.203, 242.520,]  | [274.872, 201.416, 204.223,] |
|  7 | [296.834, 151.134, 279.544,] | [300.462, 125.481, 200.335,]  | [306.505, 144.505, 224.921,] |
|  8 | [323.664, 169.208, 207.331,] | [316.081, 178.099, 306.750,]  | [326.659, 188.496, 237.614,] |
|  9 | [222.324, 202.748, 206.204,] | [217.452, 198.176, 147.092,]  | [225.496, 161.358, 265.170,] |
| 10 | [243.284, 236.119, 195.767,] | [244.920, 149.148, 258.391,]  | [248.947, 170.931, 263.062,] |
| 11 | [273.211, 122.104, 231.028,] | [261.710, 130.769, 148.122,]  | [267.804, 106.876, 223.041,] |
| 12 | [281.013, 160.940, 199.043,] | [271.823, 128.123, 212.507,]  | [276.443, 183.261, 232.695,] |
| 13 | [194.825, 159.582, 244.150,] | [193.586, 142.625, 161.815,]  | [196.688, 142.811, 240.660,] |
| 14 | [214.920, 175.497, 195.902,] | [208.375, 216.644, 224.426,]  | [224.036, 218.262, 142.747,] |
| 15 | [236.643, 145.164, 247.026,] | [230.085, 159.176, 211.413,]  | [231.137, 156.193, 246.258,] |
| 16 | [242.250, 196.421, 163.424,] | [234.702, 120.767, 197.522,]  | [238.483, 127.927, 218.200,] |
| 17 | [151.109, 199.306, 208.313,] | [150.116, 156.215, 200.669,]  | [152.743, 125.895, 220.679,] |
| 18 |  [27.208, 27.114, 27.674,]   | [27.206, 981.171, 10835.757,] |  [26.401, 28.142, 727.471,]  |
| 19 | [167.978, 110.358, 157.815,] |  [165.367, 83.395, 243.299,]  | [165.379, 146.489, 236.873,] |
| 20 | [162.933, 133.974, 238.049,] | [158.611, 129.283, 212.219,]  | [157.153, 158.562, 182.024,] |
| 21 | [176.838, 126.828, 323.031,] | [163.931, 133.484, 215.920,]  | [178.145, 118.253, 248.660,] |
| 22 | [183.382, 129.017, 212.355,] | [184.532, 103.710, 233.255,]  | [184.944, 79.031, 156.902,]  |
| 23 | [197.656, 130.080, 184.050,] | [200.715, 197.684, 211.861,]  | [214.168, 90.147, 202.787,]  |
| 24 | [194.560, 188.733, 251.816,] | [190.724, 115.929, 192.842,]  | [194.033, 133.054, 212.435,] |
+----+------------------------------+-------------------------------+------------------------------+
